episode,episode_reward,smoothed_reward
575,-4298.0,-233907.85
576,-4282.0,-233907.75
577,-3901.0,-223911.21999999997
578,-4215.0,-223917.88999999998
579,-1003936.0,-223911.58
580,-1003022.0,-213923.13999999998
581,-4327.0,-223913.61999999997
582,-3591.0,-223913.16999999998
583,-4098.0,-223902.62000000002
584,-4298.0,-233905.63999999998
585,-2697.0,-233900.37999999998
586,-3380.0,-233918.06
587,-4271.0,-233929.66999999998
588,-4508.0,-203933.65
589,-4632.0,-213937.06
590,-4682.0,-213938.4
591,-3080.0,-213936.07
592,-3927.0,-213932.46000000002
593,-1003573.0,-213916.49000000002
594,-3527.0,-203910.91000000003
595,-4632.0,-213901.11000000002
596,-4268.0,-213888.14
597,-4284.0,-213880.69
598,-4274.0,-203890.65999999997
599,-1004238.0,-203898.08
600,-4331.0,-193897.18
601,-4312.0,-193894.98
602,-3939.0,-193894.71
603,-4047.0,-193891.22
604,-3368.0,-193882.62000000002
605,-3908.0,-203879.03000000003
606,-3922.0,-203885.00000000003
607,-3764.0,-203887.96000000002
608,-3922.0,-203893.00000000003
609,-2673.0,-193896.64
610,-4280.0,-193894.78
611,-4304.0,-193903.38
612,-3388.0,-193914.02999999997
613,-1003163.0,-193919.06999999995
614,-4284.0,-193919.71
615,-3002154.0,-203915.40999999997
616,-3930.0,-203913.30000000002
617,-4680.0,-203914.42
618,-3997.0,-203911.08000000002
619,-3260.0,-203909.65999999997
620,-1002631.0,-213893.39999999997
621,-4826.0,-213893.55999999997
622,-3366.0,-213899.21999999997
623,-1004254.0,-213908.63999999998
624,-3936.0,-213928.57000000004
625,-3756.0,-213917.54000000004
626,-4628.0,-213917.40000000002
627,-4294.0,-213913.34000000003
628,-4211.0,-213917.06999999998
629,-4644.0,-213918.12
630,-1003366.0,-213917.6
631,-3933.0,-203926.52000000002
632,-4123.0,-203921.13000000003
633,-1004262.0,-203915.79
634,-3750.0,-203920.69
635,-1005120.0,-203923.85000000003
636,-4672.0,-213944.27000000002
637,-3497.0,-213946.27000000002
638,-1004260.0,-213943.30000000002
639,-4236.0,-213946.12
640,-4098.0,-213933.69999999998
641,-3564.0,-223925.9
642,-1002645.0,-223934.33000000002
643,-3732.0,-233933.81000000003
